date,home_team,away_team,home_score,away_score,tournament,home_elo_pre,away_elo_pre,home_elo_post,away_elo_post
2000-01-04,Egypt,Togo,2,1,Friendly,1500.0,1500.0,1510.8,1489.2
2000-01-07,Tunisia,Togo,7,0,Friendly,1500.0,1489.2,1510.37,1478.83
2000-01-08,Trinidad and Tobago,Canada,0,0,Friendly,1500.0,1500.0,1495.8,1504.2
2000-01-09,Burkina Faso,Gabon,1,1,Friendly,1500.0,1500.0,1495.8,1504.2
2000-01-09,Guatemala,Armenia,1,1,Friendly,1500.0,1500.0,1495.8,1504.2
2000-01-09,Ivory Coast,Egypt,2,0,Friendly,1500.0,1510.8,1511.23,1499.57
2000-01-09,Mexico,Iran,2,1,Friendly,1500.0,1500.0,1510.8,1489.2
2000-01-11,Bermuda,Canada,0,2,Friendly,1500.0,1504.2,1480.97,1523.24
2000-01-11,Burkina Faso,Cameroon,2,2,Friendly,1495.8,1500.0,1491.76,1504.03
2000-01-13,Senegal,Cameroon,0,0,Friendly,1500.0,1504.03,1495.96,1508.08
2000-01-14,China PR,New Zealand,1,0,Friendly,1500.0,1500.0,1510.8,1489.2
2000-01-16,Jamaica,New Zealand,2,1,Friendly,1500.0,1489.2,1510.37,1478.83
2000-01-16,United States,Iran,1,1,Friendly,1500.0,1489.2,1495.37,1493.83
2000-01-18,Ghana,Tunisia,2,0,Friendly,1500.0,1510.37,1511.21,1499.16
2000-01-18,Morocco,Trinidad and Tobago,1,0,Friendly,1500.0,1495.8,1510.63,1485.17
2000-01-19,Panama,Guatemala,2,0,Friendly,1500.0,1495.8,1510.63,1485.17
2000-01-19,Togo,Egypt,1,0,Friendly,1478.83,1499.57,1490.47,1487.93
2000-01-20,Burkina Faso,Algeria,1,0,Friendly,1491.76,1500.0,1502.89,1488.87
2000-01-20,Malta,Qatar,2,0,Friendly,1500.0,1500.0,1510.8,1489.2
2000-01-21,New Zealand,South Korea,0,1,Friendly,1478.83,1500.0,1460.48,1518.35
2000-01-22,Ghana,Cameroon,1,1,African Cup of Nations,1511.21,1508.08,1506.89,1512.4
2000-01-23,New Zealand,South Korea,0,0,Friendly,1460.48,1518.35,1458.67,1520.16
2000-01-23,China PR,Philippines,8,0,AFC Asian Cup qualification,1510.8,1500.0,1521.17,1489.63
2000-01-23,Egypt,Zambia,2,0,African Cup of Nations,1487.93,1500.0,1499.21,1488.72
2000-01-23,South Africa,Gabon,3,1,African Cup of Nations,1500.0,1504.2,1510.97,1493.24
2000-01-23,Vietnam,Guam,11,0,AFC Asian Cup qualification,1500.0,1500.0,1510.8,1489.2
2000-01-23,Nigeria,Tunisia,4,2,African Cup of Nations,1500.0,1499.16,1510.76,1488.39
2000-01-24,DR Congo,Algeria,0,0,African Cup of Nations,1500.0,1488.87,1495.36,1493.51
2000-01-24,Ivory Coast,Togo,1,1,African Cup of Nations,1511.23,1490.47,1506.22,1495.48
2000-01-24,Qatar,Bosnia and Herzegovina,2,0,Friendly,1489.2,1500.0,1500.43,1488.77
2000-01-25,Burkina Faso,Senegal,1,3,African Cup of Nations,1502.89,1495.96,1483.42,1515.44
2000-01-25,Morocco,Congo,1,0,African Cup of Nations,1510.63,1500.0,1521.01,1489.62
2000-01-26,Guatemala,Panama,1,1,Friendly,1485.17,1510.63,1482.0,1513.8
2000-01-26,China PR,Guam,19,0,AFC Asian Cup qualification,1521.17,1489.2,1530.73,1479.64
2000-01-26,Costa Rica,Trinidad and Tobago,2,1,Friendly,1500.0,1485.17,1510.22,1474.95
2000-01-26,Uganda,Libya,3,2,Friendly,1500.0,1500.0,1510.8,1489.2
2000-01-26,Vietnam,Philippines,3,0,AFC Asian Cup qualification,1510.8,1489.63,1520.77,1479.66
2000-01-26,Spain,Poland,3,0,Friendly,1500.0,1500.0,1510.8,1489.2
2000-01-27,Ghana,Togo,2,0,African Cup of Nations,1506.89,1495.48,1517.24,1485.13
2000-01-27,South Africa,DR Congo,1,0,African Cup of Nations,1510.97,1495.36,1521.15,1485.17
2000-01-28,Cameroon,Ivory Coast,3,0,African Cup of Nations,1512.4,1506.22,1522.95,1495.66
2000-01-28,Egypt,Senegal,1,0,African Cup of Nations,1499.21,1515.44,1510.66,1503.98
2000-01-28,Nigeria,Congo,0,0,African Cup of Nations,1510.76,1489.62,1505.74,1494.65
2000-01-28,United States Virgin Islands,Saint Lucia,0,9,Friendly,1500.0,1500.0,1480.8,1519.2
2000-01-29,Philippines,Guam,2,0,AFC Asian Cup qualification,1479.66,1479.64,1490.45,1468.84
2000-01-29,Chile,United States,1,2,Friendly,1500.0,1495.37,1480.61,1514.76
2000-01-29,Algeria,Gabon,3,1,African Cup of Nations,1493.51,1493.24,1504.3,1482.45
2000-01-29,Tunisia,Morocco,0,0,African Cup of Nations,1488.39,1521.01,1485.52,1523.88
2000-01-29,Zambia,Burkina Faso,1,1,African Cup of Nations,1488.72,1483.42,1484.31,1487.83
2000-01-29,Vietnam,China PR,0,2,AFC Asian Cup qualification,1520.77,1530.73,1501.97,1549.53
2000-01-30,United States Virgin Islands,Saint Lucia,0,2,Friendly,1480.8,1519.2,1463.17,1536.83
2000-01-31,Cameroon,Togo,0,1,African Cup of Nations,1522.95,1485.13,1502.3,1505.79
2000-01-31,Faroe Islands,Finland,0,1,Nordic Championship,1500.0,1500.0,1480.8,1519.2
2000-01-31,Ghana,Ivory Coast,0,2,African Cup of Nations,1517.24,1495.66,1497.19,1515.71
2000-01-31,Iceland,Norway,0,0,Nordic Championship,1500.0,1500.0,1495.8,1504.2
2000-01-31,Kuwait,Syria,4,0,Friendly,1500.0,1500.0,1510.8,1489.2
2000-02-01,Egypt,Burkina Faso,4,2,African Cup of Nations,1510.66,1487.83,1520.57,1477.92
2000-02-01,Zambia,Senegal,2,2,African Cup of Nations,1484.31,1503.98,1480.9,1507.39
2000-02-01,British Virgin Islands,Saint Lucia,2,3,Friendly,1500.0,1536.83,1482.3,1554.53
2000-02-02,Cyprus,Lithuania,2,1,Cyprus International Tournament,1500.0,1500.0,1510.8,1489.2
2000-02-02,DR Congo,Gabon,0,0,African Cup of Nations,1485.17,1482.45,1480.86,1486.76
2000-02-02,Costa Rica,Chile,1,0,Friendly,1510.22,1480.61,1519.87,1470.96
2000-02-02,Armenia,Moldova,2,1,Cyprus International Tournament,1504.2,1500.0,1514.83,1489.37
2000-02-02,Saint Kitts and Nevis,Saint Lucia,0,1,Friendly,1500.0,1554.53,1483.05,1571.48
2000-02-02,Romania,Latvia,2,0,Cyprus International Tournament,1500.0,1500.0,1510.8,1489.2
2000-02-02,South Africa,Algeria,1,1,African Cup of Nations,1521.15,1504.3,1516.29,1509.16
2000-02-02,Finland,Iceland,0,1,Nordic Championship,1519.2,1495.8,1499.09,1515.91
2000-02-03,Nigeria,Morocco,2,0,African Cup of Nations,1505.74,1523.88,1517.27,1512.35
2000-02-03,Tunisia,Congo,1,0,African Cup of Nations,1485.52,1494.65,1496.68,1483.49
2000-02-04,Cyprus,Armenia,3,2,Cyprus International Tournament,1510.8,1514.83,1521.76,1503.87
2000-02-04,Kuwait,Iran,1,1,Friendly,1510.8,1493.83,1505.93,1498.7
2000-02-04,Faroe Islands,Iceland,2,3,Nordic Championship,1480.8,1515.91,1463.03,1533.68
2000-02-04,Romania,Georgia,1,1,Cyprus International Tournament,1510.8,1500.0,1506.17,1504.63
2000-02-04,Norway,Sweden,1,1,Nordic Championship,1504.2,1500.0,1499.83,1504.37
2000-02-04,Moldova,Lithuania,2,1,Cyprus International Tournament,1489.37,1489.2,1500.16,1478.41
2000-02-05,Guatemala,Chile,2,1,Friendly,1482.0,1470.96,1492.36,1460.6
2000-02-05,Japan,Mexico,0,1,Lunar New Year Cup,1500.0,1510.8,1481.23,1529.57
2000-02-06,Albania,Andorra,3,0,Malta International Tournament,1500.0,1500.0,1510.8,1489.2
2000-02-06,Cameroon,Algeria,2,1,African Cup of Nations,1502.3,1509.16,1513.37,1498.09
2000-02-06,Cayman Islands,Jamaica,0,0,Friendly,1500.0,1510.37,1496.21,1514.16
2000-02-06,Cyprus,Romania,3,2,Cyprus International Tournament,1521.76,1506.17,1531.94,1495.98
2000-02-06,Georgia,Armenia,2,1,Cyprus International Tournament,1504.63,1503.87,1515.4,1493.11
2000-02-06,Ghana,South Africa,0,1,African Cup of Nations,1497.19,1516.29,1478.76,1534.72
2000-02-06,Latvia,Lithuania,1,2,Cyprus International Tournament,1489.2,1478.41,1469.57,1498.04
2000-02-06,Malta,Azerbaijan,3,0,Malta International Tournament,1510.8,1500.0,1521.17,1489.63
2000-02-07,Nigeria,Senegal,2,1,African Cup of Nations,1517.27,1507.39,1527.67,1496.98
2000-02-07,Singapore,Malaysia,3,1,Friendly,1500.0,1500.0,1510.8,1489.2
2000-02-07,Egypt,Tunisia,0,1,African Cup of Nations,1520.57,1496.68,1500.44,1516.82
2000-02-08,Albania,Azerbaijan,1,0,Malta International Tournament,1510.8,1489.63,1520.77,1479.66
2000-02-08,Malta,Andorra,1,1,Malta International Tournament,1521.17,1489.2,1515.73,1494.64
2000-02-08,Mexico,Czech Republic,1,2,Lunar New Year Cup,1529.57,1500.0,1509.22,1520.35
2000-02-08,Syria,North Korea,5,1,Friendly,1489.2,1500.0,1500.43,1488.77
2000-02-09,Bulgaria,Slovakia,1,0,Friendly,1500.0,1500.0,1510.8,1489.2
2000-02-09,Cayman Islands,Jamaica,0,1,Friendly,1496.21,1514.16,1477.74,1532.64
2000-02-09,Chile,Australia,2,1,Friendly,1460.6,1500.0,1473.01,1487.59
2000-02-09,Honduras,El Salvador,5,1,Friendly,1500.0,1500.0,1510.8,1489.2
2000-02-10,Cameroon,Tunisia,3,0,African Cup of Nations,1513.37,1516.82,1524.31,1505.88
2000-02-10,Andorra,Azerbaijan,0,0,Malta International Tournament,1494.64,1479.66,1489.85,1484.45
2000-02-10,Kuwait,Turkmenistan,6,1,AFC Asian Cup qualification,1505.93,1500.0,1516.49,1489.44
2000-02-10,Malta,Albania,0,1,Malta International Tournament,1515.73,1520.77,1496.73,1539.77
2000-02-10,Hong Kong,Singapore,0,0,Friendly,1500.0,1510.8,1496.23,1514.57
2000-02-10,Nigeria,South Africa,2,0,African Cup of Nations,1527.67,1534.72,1538.75,1523.64
2000-02-10,Nepal,Yemen,0,3,AFC Asian Cup qualification,1500.0,1500.0,1480.8,1519.2
2000-02-12,Australia,Slovakia,0,0,Friendly,1487.59,1489.2,1483.45,1493.34
2000-02-12,Chile,Bulgaria,3,2,Friendly,1473.01,1510.8,1485.35,1498.46
2000-02-12,Colombia,Jamaica,1,0,Gold Cup,1500.0,1532.64,1512.13,1520.51
2000-02-12,Nepal,Bhutan,3,0,AFC Asian Cup qualification,1480.8,1500.0,1492.37,1488.43
2000-02-12,South Africa,Tunisia,2,2,African Cup of Nations,1523.64,1505.88,1518.74,1510.78
2000-02-12,United States,Haiti,3,0,Gold Cup,1514.76,1500.0,1524.98,1489.78
2000-02-12,Yemen,Turkmenistan,0,1,AFC Asian Cup qualification,1519.2,1489.44,1498.85,1509.79
2000-02-13,Mexico,Trinidad and Tobago,4,0,Gold Cup,1509.22,1474.95,1518.69,1465.48
2000-02-13,Costa Rica,Canada,2,2,Gold Cup,1519.87,1523.24,1515.8,1527.3
2000-02-13,Macau,Brunei,1,0,AFC Asian Cup qualification,1500.0,1500.0,1510.8,1489.2
