tournament,year,team,stage,pre_tournament_elo,n_matches_form,win_rate,avg_goal_diff,goals_for_per_match,goals_against_per_match,avg_opponent_elo,stage_order,group,avg_group_elo,max_group_elo,elo_minus_avg_group,group_elo_rank
afc asian cup,2000,Japan,Champion,1552.15,11,0.682,1.909,2.455,0.545,1510.505,0,C,1529.55,1555.36,22.6,2.0
afc asian cup,2000,Saudi Arabia,Runner-up,1555.36,10,0.65,0.9,1.7,0.8,1522.967,1,C,1529.55,1555.36,25.81,1.0
afc asian cup,2000,China PR,Semi-Finalist,1526.89,12,0.583,2.417,3.167,0.75,1523.437,2,B,1549.32,1613.22,-22.43,3.0
afc asian cup,2000,South Korea,Semi-Finalist,1613.22,12,0.833,2.083,2.583,0.5,1523.562,2,B,1549.32,1613.22,63.9,1.0
afc asian cup,2000,Iran,Quarter-Finalist,1598.69,12,0.792,0.75,1.667,0.917,1507.288,3,A,1539.158,1598.69,59.533,1.0
afc asian cup,2000,Iraq,Quarter-Finalist,1569.28,11,0.682,0.727,1.545,0.818,1508.455,3,A,1539.158,1598.69,30.122,2.0
afc asian cup,2000,Kuwait,Quarter-Finalist,1525.32,11,0.636,3.0,3.818,0.818,1510.262,3,B,1549.32,1613.22,-24.0,4.0
afc asian cup,2000,Qatar,Quarter-Finalist,1515.35,12,0.625,1.0,2.0,1.0,1520.005,3,C,1529.55,1555.36,-14.2,3.0
afc asian cup,2000,Indonesia,Round of 16,1531.85,4,0.875,1.75,2.0,0.25,1534.738,4,B,1549.32,1613.22,-17.47,2.0
afc asian cup,2000,Lebanon,Round of 16,1488.96,12,0.5,0.25,1.25,1.0,1498.773,4,A,1539.158,1598.69,-50.197,4.0
afc asian cup,2000,Thailand,Round of 16,1499.7,12,0.542,0.25,2.167,1.917,1507.318,4,A,1539.158,1598.69,-39.457,3.0
afc asian cup,2000,Uzbekistan,Round of 16,1495.34,5,0.4,0.8,2.6,1.8,1528.758,4,C,1529.55,1555.36,-34.21,4.0
african cup of nations,2000,Cameroon,Champion,1508.08,2,0.5,0.0,1.0,1.0,1497.9,0,A,1505.248,1511.23,2.832,3.0
african cup of nations,2000,Nigeria,Runner-up,,0,,,,,,1,C,1504.895,1510.63,,
african cup of nations,2000,South Africa,Semi-Finalist,,0,,,,,,2,D,1496.535,1504.2,,
african cup of nations,2000,Tunisia,Semi-Finalist,1499.16,2,0.5,2.5,3.5,1.0,1494.6,2,C,1504.895,1510.63,-5.735,2.0
african cup of nations,2000,Algeria,Quarter-Finalist,1488.87,1,0.0,-1.0,0.0,1.0,1491.76,3,D,1496.535,1504.2,-7.665,2.0
african cup of nations,2000,Egypt,Quarter-Finalist,1487.93,3,0.333,-0.667,0.667,1.333,1492.943,3,B,1495.593,1502.89,-7.663,3.0
african cup of nations,2000,Ghana,Quarter-Finalist,1511.21,1,1.0,2.0,2.0,0.0,1510.37,3,A,1505.248,1511.23,5.963,2.0
african cup of nations,2000,Senegal,Quarter-Finalist,1495.96,1,0.5,0.0,0.0,0.0,1504.03,3,B,1495.593,1502.89,0.367,2.0
african cup of nations,2000,Burkina Faso,Round of 16,1502.89,3,0.667,0.333,1.333,1.0,1500.0,4,B,1495.593,1502.89,7.297,1.0
african cup of nations,2000,Congo,Round of 16,,0,,,,,,4,C,1504.895,1510.63,,
african cup of nations,2000,DR Congo,Round of 16,,0,,,,,,4,D,1496.535,1504.2,,
african cup of nations,2000,Gabon,Round of 16,1504.2,1,0.5,0.0,1.0,1.0,1500.0,4,D,1496.535,1504.2,7.665,1.0
african cup of nations,2000,Ivory Coast,Round of 16,1511.23,1,1.0,2.0,2.0,0.0,1510.8,4,A,1505.248,1511.23,5.983,1.0
african cup of nations,2000,Morocco,Round of 16,1510.63,1,1.0,1.0,1.0,0.0,1495.8,4,C,1504.895,1510.63,5.735,1.0
african cup of nations,2000,Togo,Round of 16,1490.47,3,0.333,-2.333,0.667,3.0,1499.857,4,A,1505.248,1511.23,-14.777,4.0
african cup of nations,2000,Zambia,Round of 16,,0,,,,,,4,B,1495.593,1502.89,,
uefa euro,2000,France,Champion,1570.95,6,0.917,1.667,2.5,0.833,1514.332,0,B,1521.16,1570.95,49.79,1.0
uefa euro,2000,Italy,Runner-up,1500.97,4,0.5,0.0,0.75,0.75,1511.8,1,A,1502.32,1515.06,-1.35,3.0
uefa euro,2000,Netherlands,Semi-Finalist,1528.61,5,0.8,0.8,1.8,1.0,1491.206,2,B,1521.16,1570.95,7.45,2.0
uefa euro,2000,Portugal,Semi-Finalist,1513.4,4,0.625,0.5,1.5,1.0,1495.53,2,C,1512.388,1523.12,1.013,2.0
uefa euro,2000,Romania,Quarter-Finalist,1500.8,7,0.5,0.143,1.429,1.286,1515.396,3,C,1512.388,1523.12,-11.588,4.0
uefa euro,2000,Serbia,Quarter-Finalist,1560.25,5,0.8,0.8,1.0,0.2,1544.91,3,D,1538.138,1560.25,22.112,1.0
uefa euro,2000,Spain,Quarter-Finalist,1546.09,5,0.8,1.2,1.4,0.2,1500.69,3,D,1538.138,1560.25,7.952,2.0
uefa euro,2000,Turkey,Quarter-Finalist,1480.79,1,0.0,-2.0,0.0,2.0,1499.83,3,A,1502.32,1515.06,-21.53,4.0
uefa euro,2000,Belgium,Round of 16,1515.06,4,0.625,0.5,1.75,1.25,1501.025,4,A,1502.32,1515.06,12.74,1.0
uefa euro,2000,Czech Republic,Round of 16,1517.07,5,0.6,0.8,2.6,1.8,1505.22,4,B,1521.16,1570.95,-4.09,3.0
uefa euro,2000,Denmark,Round of 16,1468.01,3,0.167,-0.667,1.0,1.667,1504.74,4,B,1521.16,1570.95,-53.15,4.0
uefa euro,2000,England,Round of 16,1523.12,4,0.75,0.75,1.25,0.5,1508.1,4,C,1512.388,1523.12,10.732,1.0
uefa euro,2000,Germany,Round of 16,1512.23,5,0.6,1.2,2.8,1.6,1501.906,4,C,1512.388,1523.12,-0.158,3.0
uefa euro,2000,Norway,Round of 16,1524.16,7,0.643,0.429,1.143,0.714,1502.833,4,D,1538.138,1560.25,-13.977,3.0
uefa euro,2000,Slovenia,Round of 16,1522.05,4,0.625,1.25,2.25,1.0,1501.085,4,D,1538.138,1560.25,-16.088,4.0
uefa euro,2000,Sweden,Round of 16,1512.46,5,0.5,0.0,0.8,0.8,1501.598,4,A,1502.32,1515.06,10.14,2.0
copa américa,2001,Colombia,Champion,1577.63,12,0.667,0.167,1.167,1.0,1520.352,0,A,1498.245,1581.31,79.385,2.0
