tournament,year,team,group,pre_tournament_elo,n_matches_form,win_rate,avg_goal_diff,goals_for_per_match,goals_against_per_match,avg_opponent_elo,avg_group_elo,max_group_elo,elo_minus_avg_group,group_elo_rank
fifa world cup,2026,Mexico,A,1758.98,12,0.4166666666666667,0.16666666666666666,1.1666666666666667,1.0,1735.4099999999999,1752.385,1826.32,6.595000000000027,3.0
fifa world cup,2026,South Africa,A,1638.97,12,0.6666666666666666,1.6666666666666667,2.0833333333333335,0.4166666666666667,1462.076,1752.385,1826.32,-113.41499999999996,4.0
fifa world cup,2026,South Korea,A,1826.32,12,0.5833333333333334,0.8333333333333334,1.75,0.9166666666666666,1676.7745454545452,1752.385,1826.32,73.93499999999995,1.0
fifa world cup,2026,Denmark,A,1785.27,12,0.5,1.0,2.25,1.25,1662.09875,1752.385,1826.32,32.88499999999999,2.0
fifa world cup,2026,Canada,B,1793.7,12,0.5,1.25,1.6666666666666667,0.4166666666666667,1683.2925000000002,1748.2175,1835.61,45.48250000000007,3.0
fifa world cup,2026,Italy,B,1835.61,12,0.5833333333333334,0.5833333333333334,2.25,1.6666666666666667,1657.062857142857,1748.2175,1835.61,87.39249999999993,1.0
fifa world cup,2026,Qatar,B,1549.83,12,0.16666666666666666,-0.9166666666666666,0.9166666666666666,1.8333333333333333,1606.944166666667,1748.2175,1835.61,-198.38750000000005,4.0
fifa world cup,2026,Switzerland,B,1813.73,12,0.5833333333333334,1.5833333333333333,2.4166666666666665,0.8333333333333334,1680.707777777778,1748.2175,1835.61,65.51250000000005,2.0
fifa world cup,2026,Brazil,C,1919.51,12,0.4166666666666667,0.5833333333333334,1.5833333333333333,1.0,1813.4091666666666,1765.8474999999999,1919.51,153.66250000000014,1.0
fifa world cup,2026,Morocco,C,1842.53,12,0.9166666666666666,1.8333333333333333,2.0833333333333335,0.25,1538.62,1765.8474999999999,1919.51,76.68250000000012,2.0
fifa world cup,2026,Haiti,C,1615.82,12,0.75,2.3333333333333335,3.25,0.9166666666666666,1445.721111111111,1765.8474999999999,1919.51,-150.02749999999992,4.0
fifa world cup,2026,Scotland,C,1685.53,12,0.6666666666666666,0.6666666666666666,1.8333333333333333,1.1666666666666667,1584.7442857142862,1765.8474999999999,1919.51,-80.31749999999988,3.0
fifa world cup,2026,United States,D,1740.03,12,0.6666666666666666,1.0833333333333333,2.0833333333333335,1.0,1736.0100000000002,1774.175,1790.35,-34.14499999999998,4.0
fifa world cup,2026,Paraguay,D,1790.35,12,0.4166666666666667,0.16666666666666666,1.25,1.0833333333333333,1816.0966666666666,1774.175,1790.35,16.174999999999955,1.0
fifa world cup,2026,Australia,D,1781.66,12,0.5833333333333334,0.5833333333333334,1.5,0.9166666666666666,1681.4710000000002,1774.175,1790.35,7.485000000000127,3.0
fifa world cup,2026,Turkey,D,1784.66,12,0.5833333333333334,0.6666666666666666,2.1666666666666665,1.5,1666.1462499999998,1774.175,1790.35,10.485000000000127,2.0
fifa world cup,2026,Germany,E,1830.07,12,0.5833333333333334,1.5,2.5,1.0,1676.84,1718.255,1865.28,111.81499999999983,2.0
fifa world cup,2026,Curaçao,E,1474.27,12,0.5,1.1666666666666667,1.9166666666666667,0.75,1435.6255555555556,1718.255,1865.28,-243.98500000000013,4.0
fifa world cup,2026,Ivory Coast,E,1703.4,12,0.5833333333333334,1.25,1.5833333333333333,0.3333333333333333,1530.5169999999998,1718.255,1865.28,-14.855000000000018,3.0
fifa world cup,2026,Ecuador,E,1865.28,12,0.4166666666666667,0.75,1.0,0.25,1780.7491666666665,1718.255,1865.28,147.02499999999986,1.0
fifa world cup,2026,Netherlands,F,1843.19,12,0.5833333333333334,2.25,3.0833333333333335,0.8333333333333334,1572.797142857143,1751.2849999999999,1843.19,91.9050000000002,1.0
fifa world cup,2026,Japan,F,1835.62,12,0.5833333333333334,1.4166666666666667,2.0833333333333335,0.6666666666666666,1670.2072727272725,1751.2849999999999,1843.19,84.33500000000004,2.0
fifa world cup,2026,Albania,F,1597.06,12,0.5,0.3333333333333333,1.0833333333333333,0.75,1540.96875,1751.2849999999999,1843.19,-154.2249999999999,4.0
fifa world cup,2026,Tunisia,F,1729.27,12,0.5833333333333334,1.3333333333333333,2.0833333333333335,0.75,1570.198333333333,1751.2849999999999,1843.19,-22.014999999999873,3.0
fifa world cup,2026,Belgium,G,1795.37,12,0.5,1.75,2.75,1.0,1543.6257142857144,1740.0375,1801.66,55.33249999999998,2.0
fifa world cup,2026,Egypt,G,1717.78,12,0.5,0.4166666666666667,1.0833333333333333,0.6666666666666666,1528.3627272727274,1740.0375,1801.66,-22.257499999999936,3.0
fifa world cup,2026,Iran,G,1801.66,12,0.5,0.8333333333333334,1.6666666666666667,0.8333333333333334,1591.88125,1740.0375,1801.66,61.62250000000017,1.0
fifa world cup,2026,New Zealand,G,1645.34,12,0.4166666666666667,1.5,2.5833333333333335,1.0833333333333333,1667.7145454545455,1740.0375,1801.66,-94.69749999999999,4.0
fifa world cup,2026,Spain,H,2001.11,12,0.6666666666666666,1.8333333333333333,3.1666666666666665,1.3333333333333333,1762.35375,1791.5049999999999,2001.11,209.60500000000002,1.0
fifa world cup,2026,Cape Verde,H,1658.12,12,0.5,0.8333333333333334,1.5,0.6666666666666666,1550.273,1791.5049999999999,2001.11,-133.385,3.0
fifa world cup,2026,Saudi Arabia,H,1654.56,12,0.5,0.08333333333333333,1.1666666666666667,1.0833333333333333,1646.9483333333335,1791.5049999999999,2001.11,-136.94499999999994,4.0
fifa world cup,2026,Uruguay,H,1852.23,12,0.4166666666666667,0.08333333333333333,1.0833333333333333,1.0,1764.405,1791.5049999999999,2001.11,60.725000000000136,2.0
fifa world cup,2026,France,I,1941.73,12,0.6666666666666666,1.25,2.25,1.0,1716.1950000000002,1790.3175,1941.73,151.4124999999999,1.0
fifa world cup,2026,Senegal,I,1827.71,12,0.75,2.25,2.75,0.5,1577.2869999999998,1790.3175,1941.73,37.39249999999993,2.0
fifa world cup,2026,Bolivia,I,1629.06,12,0.25,-1.25,0.5833333333333334,1.8333333333333333,1800.7749999999999,1790.3175,1941.73,-161.25750000000016,4.0
fifa world cup,2026,Norway,I,1762.77,12,0.9166666666666666,3.4166666666666665,4.0,0.5833333333333334,1542.53375,1790.3175,1941.73,-27.547500000000127,3.0
fifa world cup,2026,Argentina,J,2009.8,12,0.75,1.8333333333333333,2.25,0.4166666666666667,1737.6963636363637,1808.43,2009.8,201.3699999999999,1.0
fifa world cup,2026,Algeria,J,1788.16,12,0.6666666666666666,1.4166666666666667,2.1666666666666665,0.75,1522.0166666666667,1808.43,2009.8,-20.269999999999982,2.0
fifa world cup,2026,Austria,J,1743.3,12,0.5833333333333334,1.5,2.1666666666666665,0.6666666666666666,1464.9157142857146,1808.43,2009.8,-65.13000000000011,3.0
fifa world cup,2026,Jordan,J,1692.46,12,0.5,0.4166666666666667,1.75,1.3333333333333333,1654.72,1808.43,2009.8,-115.97000000000003,4.0
fifa world cup,2026,Portugal,K,1870.01,12,0.5833333333333334,1.6666666666666667,2.9166666666666665,1.25,1729.0662499999999,1816.74,1943.8,53.26999999999998,2.0
fifa world cup,2026,DR Congo,K,1694.09,12,0.8333333333333334,1.1666666666666667,1.6666666666666667,0.5,1545.9789999999998,1816.74,1943.8,-122.65000000000009,4.0
fifa world cup,2026,Uzbekistan,K,1759.06,12,0.5,0.6666666666666666,1.25,0.5833333333333334,1633.1922222222222,1816.74,1943.8,-57.680000000000064,3.0
fifa world cup,2026,Colombia,K,1943.8,12,0.4166666666666667,0.9166666666666666,2.0,1.0833333333333333,1788.2291666666663,1816.74,1943.8,127.05999999999995,1.0
fifa world cup,2026,England,L,1889.62,12,0.9166666666666666,2.5833333333333335,2.8333333333333335,0.25,1572.4575,1770.8775,1889.62,118.74249999999984,1.0
fifa world cup,2026,Croatia,L,1840.14,12,0.6666666666666666,1.75,2.4166666666666665,0.6666666666666666,1591.4914285714287,1770.8775,1889.62,69.26250000000005,2.0
fifa world cup,2026,Ghana,L,1622.36,12,0.5,1.0833333333333333,1.75,0.6666666666666666,1572.6470000000002,1770.8775,1889.62,-148.51750000000015,4.0
fifa world cup,2026,Panama,L,1731.39,12,0.4166666666666667,-0.4166666666666667,1.5,1.9166666666666667,1699.7809999999997,1770.8775,1889.62,-39.487499999999955,3.0
