tournament,year,team,group
afc asian cup,2000,Iran,A
afc asian cup,2000,Iraq,A
afc asian cup,2000,Lebanon,A
afc asian cup,2000,Thailand,A
afc asian cup,2000,China PR,B
afc asian cup,2000,Indonesia,B
afc asian cup,2000,Kuwait,B
afc asian cup,2000,South Korea,B
afc asian cup,2000,Japan,C
afc asian cup,2000,Qatar,C
afc asian cup,2000,Saudi Arabia,C
afc asian cup,2000,Uzbekistan,C
african cup of nations,2000,Cameroon,A
african cup of nations,2000,Ghana,A
african cup of nations,2000,Ivory Coast,A
african cup of nations,2000,Togo,A
african cup of nations,2000,Burkina Faso,B
african cup of nations,2000,Egypt,B
african cup of nations,2000,Senegal,B
african cup of nations,2000,Zambia,B
african cup of nations,2000,Congo,C
african cup of nations,2000,Morocco,C
african cup of nations,2000,Nigeria,C
african cup of nations,2000,Tunisia,C
african cup of nations,2000,Algeria,D
african cup of nations,2000,DR Congo,D
african cup of nations,2000,Gabon,D
african cup of nations,2000,South Africa,D
uefa euro,2000,Belgium,A
uefa euro,2000,Italy,A
uefa euro,2000,Sweden,A
uefa euro,2000,Turkey,A
uefa euro,2000,Czech Republic,B
uefa euro,2000,Denmark,B
uefa euro,2000,France,B
uefa euro,2000,Netherlands,B
uefa euro,2000,England,C
uefa euro,2000,Germany,C
uefa euro,2000,Portugal,C
uefa euro,2000,Romania,C
uefa euro,2000,Norway,D
uefa euro,2000,Serbia,D
uefa euro,2000,Slovenia,D
uefa euro,2000,Spain,D
copa américa,2001,Chile,A
copa américa,2001,Colombia,A
copa américa,2001,Ecuador,A
copa américa,2001,Venezuela,A
copa américa,2001,Brazil,B
copa américa,2001,Mexico,B
copa américa,2001,Paraguay,B
copa américa,2001,Peru,B
copa américa,2001,Bolivia,C
copa américa,2001,Costa Rica,C
copa américa,2001,Honduras,C
copa américa,2001,Uruguay,C
african cup of nations,2002,Algeria,A
african cup of nations,2002,Liberia,A
african cup of nations,2002,Mali,A
african cup of nations,2002,Nigeria,A
african cup of nations,2002,Cameroon,B
african cup of nations,2002,DR Congo,B
african cup of nations,2002,Ivory Coast,B
african cup of nations,2002,Togo,B
african cup of nations,2002,Egypt,C
african cup of nations,2002,Senegal,C
african cup of nations,2002,Tunisia,C
african cup of nations,2002,Zambia,C
african cup of nations,2002,Burkina Faso,D
african cup of nations,2002,Ghana,D
african cup of nations,2002,Morocco,D
african cup of nations,2002,South Africa,D
fifa world cup,2002,Denmark,A
fifa world cup,2002,France,A
fifa world cup,2002,Senegal,A
fifa world cup,2002,Uruguay,A
fifa world cup,2002,Cameroon,B
fifa world cup,2002,Germany,B
fifa world cup,2002,Republic of Ireland,B
