tournament,year,team,group
fifa world cup,2026,Mexico,A
fifa world cup,2026,South Africa,A
fifa world cup,2026,South Korea,A
fifa world cup,2026,Denmark,A
fifa world cup,2026,Canada,B
fifa world cup,2026,Italy,B
fifa world cup,2026,Qatar,B
fifa world cup,2026,Switzerland,B
fifa world cup,2026,Brazil,C
fifa world cup,2026,Morocco,C
fifa world cup,2026,Haiti,C
fifa world cup,2026,Scotland,C
fifa world cup,2026,United States,D
fifa world cup,2026,Paraguay,D
fifa world cup,2026,Australia,D
fifa world cup,2026,Turkey,D
fifa world cup,2026,Germany,E
fifa world cup,2026,Curaçao,E
fifa world cup,2026,Ivory Coast,E
fifa world cup,2026,Ecuador,E
fifa world cup,2026,Netherlands,F
fifa world cup,2026,Japan,F
fifa world cup,2026,Albania,F
fifa world cup,2026,Tunisia,F
fifa world cup,2026,Belgium,G
fifa world cup,2026,Egypt,G
fifa world cup,2026,Iran,G
fifa world cup,2026,New Zealand,G
fifa world cup,2026,Spain,H
fifa world cup,2026,Cape Verde,H
fifa world cup,2026,Saudi Arabia,H
fifa world cup,2026,Uruguay,H
fifa world cup,2026,France,I
fifa world cup,2026,Senegal,I
fifa world cup,2026,Bolivia,I
fifa world cup,2026,Norway,I
fifa world cup,2026,Argentina,J
fifa world cup,2026,Algeria,J
fifa world cup,2026,Austria,J
fifa world cup,2026,Jordan,J
fifa world cup,2026,Portugal,K
fifa world cup,2026,DR Congo,K
fifa world cup,2026,Uzbekistan,K
fifa world cup,2026,Colombia,K
fifa world cup,2026,England,L
fifa world cup,2026,Croatia,L
fifa world cup,2026,Ghana,L
fifa world cup,2026,Panama,L
