tournament,year,start_date,end_date,confederation,continent
afc asian cup,1956,1956-09-01,1956-09-15,afc,asia
afc asian cup,1960,1960-10-14,1960-10-23,afc,asia
afc asian cup,1964,1964-05-26,1964-06-03,afc,asia
afc asian cup,1968,1968-05-10,1968-05-19,afc,asia
afc asian cup,1972,1972-05-07,1972-05-19,afc,asia
afc asian cup,1976,1976-06-03,1976-06-13,afc,asia
afc asian cup,1980,1980-09-15,1980-09-30,afc,asia
afc asian cup,1984,1984-12-01,1984-12-16,afc,asia
afc asian cup,1988,1988-12-02,1988-12-18,afc,asia
afc asian cup,1992,1992-10-29,1992-11-08,afc,asia
afc asian cup,1996,1996-12-04,1996-12-21,afc,asia
afc asian cup,2000,2000-10-12,2000-10-29,afc,asia
afc asian cup,2004,2004-07-17,2004-08-07,afc,asia
afc asian cup,2007,2007-07-07,2007-07-29,afc,asia
afc asian cup,2011,2011-01-07,2011-01-29,afc,asia
afc asian cup,2015,2015-01-09,2015-01-31,afc,asia
afc asian cup,2019,2019-01-05,2019-02-01,afc,asia
afc asian cup,2024,2024-01-12,2024-02-10,afc,asia
african cup of nations,1957,1957-02-10,1957-02-16,caf,africa
african cup of nations,1959,1959-05-22,1959-05-29,caf,africa
african cup of nations,1962,1962-01-14,1962-01-21,caf,africa
african cup of nations,1963,1963-11-24,1963-12-01,caf,africa
african cup of nations,1965,1965-11-12,1965-11-21,caf,africa
african cup of nations,1968,1968-01-12,1968-01-21,caf,africa
african cup of nations,1970,1970-02-06,1970-02-16,caf,africa
african cup of nations,1972,1972-02-23,1972-03-05,caf,africa
african cup of nations,1974,1974-03-01,1974-03-14,caf,africa
african cup of nations,1976,1976-02-29,1976-03-14,caf,africa
african cup of nations,1978,1978-03-05,1978-03-16,caf,africa
african cup of nations,1980,1980-03-08,1980-03-22,caf,africa
african cup of nations,1982,1982-03-05,1982-03-19,caf,africa
african cup of nations,1984,1984-03-04,1984-03-18,caf,africa
african cup of nations,1986,1986-03-07,1986-03-21,caf,africa
african cup of nations,1988,1988-03-13,1988-03-27,caf,africa
african cup of nations,1990,1990-03-02,1990-03-16,caf,africa
african cup of nations,1992,1992-01-12,1992-01-26,caf,africa
african cup of nations,1994,1994-03-26,1994-04-10,caf,africa
african cup of nations,1996,1996-01-13,1996-02-03,caf,africa
african cup of nations,1998,1998-02-07,1998-02-28,caf,africa
african cup of nations,2000,2000-01-22,2000-02-13,caf,africa
african cup of nations,2002,2002-01-19,2002-02-10,caf,africa
african cup of nations,2004,2004-01-24,2004-02-14,caf,africa
african cup of nations,2006,2006-01-20,2006-02-10,caf,africa
african cup of nations,2008,2008-01-20,2008-02-10,caf,africa
african cup of nations,2010,2010-01-10,2010-01-31,caf,africa
african cup of nations,2012,2012-01-21,2012-02-12,caf,africa
african cup of nations,2013,2013-01-19,2013-02-10,caf,africa
african cup of nations,2015,2015-01-17,2015-02-08,caf,africa
african cup of nations,2017,2017-01-14,2017-02-05,caf,africa
african cup of nations,2019,2019-06-21,2019-07-19,caf,africa
african cup of nations,2022,2022-01-09,2022-02-06,caf,africa
african cup of nations,2024,2024-01-13,2024-02-11,caf,africa
copa américa,1916,1916-07-02,1916-07-17,conmebol,south america
copa américa,1917,1917-09-30,1917-10-14,conmebol,south america
