tournament,year,team,matches_played,wins,goals_for,goals_conceded,stage
afc asian cup,2000,Japan,6,5,21,6,Champion
afc asian cup,2000,Saudi Arabia,6,3,11,8,Runner-up
afc asian cup,2000,China PR,6,2,11,7,Semi-Finalist
afc asian cup,2000,South Korea,6,3,9,6,Semi-Finalist
afc asian cup,2000,Iran,4,2,7,3,Quarter-Finalist
afc asian cup,2000,Iraq,4,1,5,7,Quarter-Finalist
afc asian cup,2000,Kuwait,4,1,3,3,Quarter-Finalist
afc asian cup,2000,Qatar,4,0,3,5,Quarter-Finalist
afc asian cup,2000,Indonesia,3,0,0,7,Round of 16
afc asian cup,2000,Lebanon,3,0,3,7,Round of 16
afc asian cup,2000,Thailand,3,0,2,4,Round of 16
afc asian cup,2000,Uzbekistan,3,0,2,14,Round of 16
african cup of nations,2000,Cameroon,6,3,11,5,Champion
african cup of nations,2000,Nigeria,6,4,12,5,Runner-up
african cup of nations,2000,South Africa,6,3,8,6,Semi-Finalist
african cup of nations,2000,Tunisia,6,2,6,9,Semi-Finalist
african cup of nations,2000,Algeria,4,1,5,4,Quarter-Finalist
african cup of nations,2000,Egypt,4,3,7,3,Quarter-Finalist
african cup of nations,2000,Ghana,4,1,3,4,Quarter-Finalist
african cup of nations,2000,Senegal,4,1,6,6,Quarter-Finalist
african cup of nations,2000,Burkina Faso,3,0,4,8,Round of 16
african cup of nations,2000,Congo,3,0,0,2,Round of 16
african cup of nations,2000,DR Congo,3,0,0,1,Round of 16
african cup of nations,2000,Gabon,3,0,2,6,Round of 16
african cup of nations,2000,Ivory Coast,3,1,3,4,Round of 16
african cup of nations,2000,Morocco,3,1,1,2,Round of 16
african cup of nations,2000,Togo,3,1,2,3,Round of 16
african cup of nations,2000,Zambia,3,0,3,5,Round of 16
uefa euro,2000,France,6,5,13,7,Champion
uefa euro,2000,Italy,6,4,9,4,Runner-up
uefa euro,2000,Netherlands,5,4,13,3,Semi-Finalist
uefa euro,2000,Portugal,5,4,10,4,Semi-Finalist
uefa euro,2000,Romania,4,1,4,6,Quarter-Finalist
uefa euro,2000,Serbia,4,1,8,13,Quarter-Finalist
uefa euro,2000,Spain,4,2,7,7,Quarter-Finalist
uefa euro,2000,Turkey,4,1,3,4,Quarter-Finalist
uefa euro,2000,Belgium,3,1,2,5,Round of 16
uefa euro,2000,Czech Republic,3,1,3,3,Round of 16
uefa euro,2000,Denmark,3,0,0,8,Round of 16
